834:1;buildings>infrastructure#2!industrial_complex#1!air_base#1!@3838#naval_base<3+!$manpower>322900$category>town$owner>FRA$vp>3838#1!$cores>COR!FRA!$provinces>3838!9851!11804!$?
447;buildings>infrastructure#3!industrial_complex#1!air_base#6!@4076#naval_base<8+!$manpower>3859239$resources>oil#1!$category>town$owner>ENG$vp>4076#10!1071#1!$cores>EGY!$provinces>1071!4076!4145!7091!7164!10073!11964!$?
448;buildings>infrastructure#2!air_base#6!@1149#naval_base<5+!$manpower>469136$category>town$owner>ITA$vp>1149#10!$cores>LBA!$provinces>1118!1149!1189!4194!7066!7209!9980!12039!$?
449;buildings>infrastructure#2!$manpower>40431$category>enclave$owner>ITA$cores>LBA!$provinces>1041!1198!4047!4057!10046!10117!12088!$?
45;buildings>infrastructure#3!$vp>619#3!$owner>YUG$cores>YUG!SER!$provinces>619!3617!3623!9608!9621!$manpower>838621$category>town$?
450;buildings>infrastructure#2!air_base#1!@11954#naval_base<1+!$manpower>82535$category>enclave$owner>ITA$vp>11954#3!$cores>LBA!$provinces>1127!4120!10123!11954!$?
451;buildings>infrastructure#1!air_base#4!@1130#naval_base<6+!$manpower>45628$category>wasteland$owner>ITA$vp>1130#5!$cores>LBA!$provinces>1130!1204!4136!4151!7082!9992!10120!12094!$?
452;buildings>infrastructure#2!$manpower>52556$category>wasteland$owner>ENG$vp>9989#1!$cores>EGY!$provinces>7079!9989!10061!11910!11967!5078!12033!12091!7148!$?
453;buildings>infrastructure#1!$manpower>15359$category>wasteland$owner>ENG$vp>4161#3!10099#1!$cores>EGY!$provinces>1112!1155!4161!9947!10002!10099!11922!11979!12073!$?
454;buildings>infrastructure#3!industrial_complex#1!air_base#2!@4206#naval_base<3+!$manpower>933142$category>rural$owner>ENG$vp>1086#1!4206#1!1065#1!$cores>PAL!ISR!$provinces>1015!1065!1086!1201!4088!4206!7107!7176!11970!1!$?
455;buildings>infrastructure#2!industrial_complex#1!$manpower>932000$category>rural$owner>ENG$vp>7151#1!11976#1!$cores>JOR!$provinces>1544!4017!4115!4440!4562!4574!4591!4603!7001!7151!7170!10089!11976!$?
456;buildings>infrastructure#2!$manpower>4224516$category>rural$vp>11999#1!12071#3!11974#1!$owner>ENG$cores>EGY!$provinces>1028!1064!1151!1206!7030!7073!7144!10028!10097!10844!11974!11999!12044!12071!12771!$?
457;buildings>infrastructure#1!$manpower>2194$category>wasteland$owner>ENG$vp>12002#1!$cores>EGY!$provinces>1080!4068!4910!5069!7156!9957!10126!12002!12889!$?
458;buildings>infrastructure#2!industrial_complex#1!air_base#8!@9994#naval_base<8+!$manpower>1982940$category>town$resources>steel#6!$owner>FRA$cores>TUN!$vp>11969#10!9994#1!11921#1!$provinces>1037!1046!4061!4129!4163!7077!7162!7180!9994!10091!11921!11969!$?
459;buildings>infrastructure#2!air_base#5!@1145#naval_base<2+!@7132#naval_base<6+!$manpower>3089944$category>town$resources>steel#26!$owner>FRA$cores>ALG!$vp>1145#5!7132#5!$provinces>1013!1145!4116!4131!4146!7132!9964!11923!11939!12760!$?
46;buildings>infrastructure#3!arms_factory#4!industrial_complex#1!air_base#3!@657#naval_base<8+!@687#naval_base<1+!dockyard#1!$manpower>4461400$resources>oil#44!$category>city$owner>ROM$vp>9617#20!3663#5!657#3!$cores>ROM!$provinces>657!660!674!687!818!3076!3636!3639!3663!6658!6677!6695!9617!9635!9651!11603!11619!11636!$?
460;buildings>infrastructure#2!@7081#naval_base<1+!$manpower>2343837$category>town$owner>FRA$cores>ALG!$vp>7081#1!12051#3!$provinces>1058!1160!4046!7065!7081!7166!9976!10078!11953!12051!13077!$?
461;buildings>infrastructure#2!industrial_complex#1!air_base#4!@7069#naval_base<4+!$resources>chromium#12.000!$manpower>3197719$category>rural$owner>FRA$cores>MOR!$vp>7069#10!$provinces>989!1079!1111!1194!4084!4097!4139!7069!7100!7116!7173!10013!10023!10070!11943!11987!12042!$?
462;buildings>infrastructure#1!$manpower>1865552$category>wasteland$owner>FRA$cores>MOR!$vp>4108#1!$provinces>1102!1152!1207!1989!4022!4108!4154!4933!5046!7203!7908!7958!8046!10107!$?
463;buildings>infrastructure#1!air_base#1!@13091#naval_base<1+!$owner>USA$vp>13090#1!13091#3!$provinces>1135!1830!4833!4848!7855!7884!10679!10694!10707!12661!13069!13090!13091!13202!13203!$manpower>67500$category>"rural"$?
464;buildings>infrastructure#3!industrial_complex#1!air_base#3!@7361#naval_base<4+!$manpower>490912$category>rural$owner>CAN$vp>7361#3!$cores>CAN!$provinces>1354!4360!4430!4623!7304!7361!7644!10244!$?
465;buildings>infrastructure#3!industrial_complex#2!@4285#naval_base<2+!$manpower>475020$category>rural$owner>CAN$cores>CAN!$provinces>634!1424!4285!4342!4362!4432!7379!12289!$?
466;buildings>infrastructure#1!@3691#naval_base<1+!$resources>aluminium#4.000!$owner>CAN$cores>CAN!$provinces>490!983!1341!1356!1657!1712!1764!3208!3691!3911!4419!4666!4769!6740!7364!7435!7683!7807!7810!7813!7875!7893!10176!10249!10534!10700!10715!11682!11902!12147!12205!12223!12276!12600!13160!13162!13164!13166!13181!13184!13186!13196!$manpower>318860$category>rural$?
467;buildings>infrastructure#2!industrial_complex#1!$owner>CAN$vp>4872#5!$cores>CAN!$provinces>1848!1873!3721!4218!4426!4790!4872!5119!12145!12636!12688!13163!$manpower>651071$category>rural$?
468;buildings>infrastructure#3!arms_factory#2!industrial_complex#1!air_base#3!@12149#naval_base<6+!$manpower>2432754$category>city$resources>aluminium#3!$owner>CAN$cores>CAN!$vp>4345#20!12149#3!$provinces>1284!4305!4345!4417!4422!7289!7291!7345!7433!9601!10174!10230!10320!12149!12291!$?
469;buildings>infrastructure#2!industrial_complex#1!$manpower>865605$category>rural$owner>CAN$cores>CAN!$provinces>736!1788!3481!3498!3769!4739!9669!10552!10611!10656!11440!12593!12603!12663!$?
47;buildings>infrastructure#2!industrial_complex#3!dockyard#1!air_base#4!@4109#naval_base<9+!$manpower>2312500$resources>steel#3!chromium#12!aluminium#30!tungsten #!$category>city$owner>GRE$vp>4109#20!3973#3!7127#3!3988#1!$cores>GRE!$provinces>863!976!1109!3864!3973!3988!4109!6930!7127!$?
470;buildings>infrastructure#3!industrial_complex#1!$manpower>690800$category>rural$owner>CAN$vp>3010#3!$cores>CAN!$provinces>515!1262!1347!1763!1804!3010!3706!4765!6726!6754!7718!7766!7787!10684!12166!$?
471;buildings>infrastructure#1!@10548#naval_base<1+!$manpower>27681$category>wasteland$owner>CAN$cores>CAN!$provinces>917!1411!1799!1872!3606!4678!7869!7891!10548!12508!12571!5403!$?
472;buildings>infrastructure#1!$category>wasteland$owner>CAN$cores>CAN!$provinces>1671!2407!2976!3800!4272!4695!6779!7348!7696!7830!7858!7901!8653!10527!10703!12534!12682!13075!13167!13168!13183!13185!13187!13189!13192!$manpower>27681$?
473;buildings>infrastructure#3!arms_factory#1!industrial_complex#1!dockyard#1!air_base#3!@1408#naval_base<5+!$manpower>638165$resources>oil#1!$category>town$owner>CAN$cores>CAN!$vp>1408#15!$provinces>1323!1393!1408!1737!1858!4343!4385!4413!4428!4870!4877!7677!7753!7761!7820!7853!10228!10258!10273!10644!12231!12578!$?
474;buildings>infrastructure#2!air_base#1!@4904#naval_base<2+!@4965#naval_base<3+!$manpower>440289$category>rural$owner>MEX$cores>MEX!$vp>4904#1!$provinces>4904!4965!12715!$?
475;buildings>infrastructure#2!$manpower>805874$category>rural$owner>MEX$cores>MEX!$vp>1900#3!$provinces>1900!12753!12867!$?
476;buildings>infrastructure#2!air_base#2!@10889#naval_base<2+!$manpower>1663331$category>rural$resources>oil#8!$owner>MEX$cores>MEX!$vp>10889#1!2021#3!$provinces>2021!8236!10773!10889!12712!$?
477;buildings>infrastructure#2!dockyard#1!@12810#naval_base<3+!$manpower>1951460$category>town$resources>oil#9!$owner>MEX$cores>MEX!$vp>12810#5!8089#10!$provinces>8079!8089!10732!12810!$?
478;buildings>infrastructure#2!industrial_complex#1!$manpower>2470875$category>town$resources>tungsten#8!$owner>MEX$cores>MEX!$vp>13089#10!10172#5!12746#1!$provinces>2051!5052!10172!12746!12873!13089!$?
479;buildings>infrastructure#2!industrial_complex#1!$manpower>1032988$category>town$resources>oil#9!$owner>MEX$cores>MEX!$vp>4956#10!5015#5!$provinces>1952!2083!4956!5015!5021!12721!13088!$?
48;buildings>infrastructure#3!industrial_complex#6!air_base#3!$manpower>1685989$resources>aluminium #!$category>city$owner>BUL$vp>949#15!9771#1!$cores>BUL!$provinces>793!935!949!965!3908!3971!9771!11754!$?
480;buildings>infrastructure#2!arms_factory#1!industrial_complex#1!$manpower>827826$category>large_town$resources>oil#8!$owner>MEX$cores>MEX!$vp>12835#10!10769#5!$provinces>2060!2104!7973!10738!10746!10769!10800!12811!12835!$?
481;buildings>infrastructure#2!dockyard#1!@8057#naval_base<3+!$manpower>1255094$category>rural$owner>MEX$cores>MEX!$vp>7921#10!$provinces>1945!4946!7921!8003!8057!10853!10871!10895!12804!$?
482;buildings>infrastructure#2!$manpower>520751$category>rural$owner>MEX$cores>MEX!$vp>8097#10!10830#10!$provinces>2037!4898!7935!8097!10809!10830!10916!12745!12827!12850!12897!$?
483;buildings>infrastructure#2!@4908#naval_base<3+!$manpower>303987$category>rural$owner>MEX$cores>MEX!$vp>10765#5!$provinces>2069!4908!4977!5071!8012!8033!10765!10848!12833!13214!$?
484;buildings>infrastructure#2!air_base#3!@1892#naval_base<2+!@12736#naval_base<1+!$manpower>108841$category>rural$owner>MEX$cores>MEX!$vp>12461#10!$provinces>1892!1904!7964!8119!12461!12736!12859!13215!13216!$?
485;buildings>infrastructure#2!industrial_complex#1!@8032#naval_base<3+!$manpower>1598311$category>rural$resources>steel#4!$owner>MEX$cores>MEX!$vp>10730#5!4887#3!8032#1!$provinces>4887!5066!8032!10730!10832!$?
486;buildings>infrastructure#1!$manpower>213160$category>pastoral$owner>COL$cores>COL!$provinces>1887!2007!5026!10792!12729!12770!12825!$?
487;buildings>infrastructure#1!industrial_complex#1!$manpower>334500$category>pastoral$owner>BOL$cores>BOL!$provinces>2160!5188!8211!8240!10924!10982!10996!12902!12916!12917!12973!$?
488;buildings>infrastructure#1!$manpower>245642$category>pastoral$owner>VEN$cores>VEN!$vp>10879#1!$provinces>1981!5317!7915!8050!10736!10849!10879!$?
489;buildings>infrastructure#2!industrial_complex#2!@1944#naval_base<5+!$manpower>1576373$category>town$resources>oil#35!$owner>VEN$cores>VEN!$vp>1944#1!$provinces>1944!1997!2052!4526!5088!10855!12772!$?
49;buildings>infrastructure#2!arms_factory#2!industrial_complex#2!air_base#3!$manpower>810284$resources>chromium#11!steel #!$category>town$owner>TUR$vp>11747#15!804#5!3951#1!$cores>TUR!$provinces>804!909!3907!3951!6808!6908!6925!9806!9901!11747!11784!$?
490;buildings>infrastructure#2!industrial_complex#1!air_base#1!$manpower>70020$category>pastoral$owner>PRU$cores>PRU!$provinces>8149!10942!$?
491;buildings>infrastructure#2!$manpower>176626$category>pastoral$owner>PRU$cores>PRU!$provinces>5162!8213!10970!12869!$?
492;buildings>infrastructure#2!industrial_complex#1!air_base#1!$resources>tungsten#2!$category>rural$owner>PRU$cores>PRU!$vp>2210#1!$provinces>2182!2210!2225!5202!12953!13086!13175!$manpower>1601278$?
493;buildings>infrastructure#2!industrial_complex#2!air_base#4!@12790#naval_base<5+!@8056#naval_base<1+!$manpower>2826781$resources>oil#15!$category>town$owner>COL$cores>COL!$vp>2023#1!12790#5!$provinces>1937!2023!2085!4969!8056!10494!10864!12703!12790!12845!12872!$?
494;buildings>infrastructure#2!$manpower>735826$category>rural$owner>PRU$cores>PRU!$provinces>2212!2226!5166!8160!8191!10940!$?
495;buildings>infrastructure#0!$manpower>979900$category>pastoral$resources>aluminium#4!$owner>BRA$cores>BRA!$provinces>1979!2035!2198!4980!5008!5083!5214!5216!5232!8172!8185!8254!10934!10956!10960!12919!12965!13083!$?
496;buildings>infrastructure#2!industrial_complex#2!@10999#naval_base<1+!$manpower>4603600$category>town$resources>steel#3!$owner>BRA$vp>7476#3!10999#1!$cores>BRA!$provinces>2153!4570!5223!7589!8196!8233!10931!10999!12903!12909!12938!10945!12977!2167!7476!8148!12923!2190!2218!12438!10360!8210!12479!2185!8226!12334!$?
497;buildings>infrastructure#2!industrial_complex#1!air_base#1!@12853#naval_base<2+!$manpower>2950100$category>rural$resources>rubber#23!$owner>BRA$cores>BRA!$vp>12853#1!$provinces>2150!2214!2228!5153!5204!5220!10874!10984!12853!12913!12933!12947!12999!$?
498;buildings>infrastructure#3!industrial_complex#6!air_base#2!@5107#naval_base<3+!@5168#naval_base<1+!$manpower>7746000$category>city$owner>BRA$cores>BRA!$vp>5107#3!5168#5!$provinces>1446!1524!2132!2164!2175!2178!2227!5107!5168!5182!7561!8179!8227!10345!10933!10939!10967!10989!10998!12961!$?
499;buildings>infrastructure#2!industrial_complex#2!air_base#1!@10946#naval_base<1+!$manpower>4233900$category>large_town$owner>BRA$cores>BRA!$vp>10946#1!$provinces>4617!5194!8143!8177!8184!8197!8242!10392!10926!10946!5174!8129!5218!12422!10419!11002!$?
5;buildings>infrastructure#3!$manpower>1238108$category>town$vp>6375#3!$owner>GER$cores>GER!$provinces>266!3351!3380!6375!6402!9327!9346!9372!9398!11245!11386!$?
50;buildings>infrastructure#4!arms_factory#5!industrial_complex#1!air_base#3!$resources>aluminium#6!$category>large_city$owner>GER$vp>9517#20!11499#3!$cores>GER!$provinces>519!694!3530!3679!3690!3692!6542!6555!6568!6581!6712!6934!9517!9545!9655!11486!11499!11640!13126!$manpower>5086854$?
500;buildings>infrastructure#3!arms_factory#2!industrial_complex#4!dockyard#2!air_base#7!@10980#naval_base<7+!$manpower>6665500$category>large_city$owner>BRA$cores>BRA!$vp>10980#10!$provinces>5172!8190!10980!12996!$?
501;buildings>arms_factory#1!industrial_complex#3!infrastructure#3!@5112#naval_base<4+!$manpower>6199200$category>city$owner>BRA$cores>BRA!$vp>10513#20!5112#1!$provinces>1583!5186!7636!10513!10947!10994!11003!11008!12937!12972!10432!5112!5167!7553!$?
502;buildings>infrastructure#3!air_base#2!@10447#naval_base<3+!$manpower>2959600$category>town$owner>BRA$cores>BRA!$vp>10447#3!$provinces>1542!1585!1598!4436!4575!4589!4604!5110!7581!7594!7638!10447!12396!$?
503;buildings>infrastructure#3!air_base#1!$manpower>1922700$category>rural$owner>BRA$cores>BRA!$provinces>1529!2109!4533!4548!4587!5156!5178!8181!8239!10405!12466!$?
504;buildings>infrastructure#1!$category>rural$owner>BRA$cores>BRA!$provinces>2111!2181!5200!8189!8224!10959!12951!$manpower>229900$?
505;buildings>infrastructure#1!$category>rural$owner>BRA$cores>BRA!$provinces>2168!5115!5148!5151!5208!8140!12959!12987!$manpower>1662200$?
506;buildings>infrastructure#2!industrial_complex#2!air_base#1!@12994#naval_base<1+!@5228#naval_base<2+!$manpower>283605$category>rural$owner>CHL$cores>CHL!$vp>12994#1!$provinces>5131!5146!5171!5192!5228!8217!8231!11000!12914!12994!$?
507;buildings>infrastructure#1!$manpower>68693$category>pastoral$owner>CHL$cores>CHL!$provinces>2161!5118!5159!5201!5209!5215!8198!8218!8913!10961!$?
508;buildings>infrastructure#2!industrial_complex#1!$manpower>781311$category>rural$owner>ARG$cores>ARG!$vp>8216#1!$provinces>2136!2224!8195!8216!8253!11001!12928!12978!$?
509;buildings>infrastructure#2!industrial_complex#1!$manpower>704241$category>town$resources>tungsten#35!steel#6!$owner>ARG$cores>ARG!$provinces>2106!2208!5143!5213!8169!8255!10944!10965!10986!12922!12943!$?
51;buildings>infrastructure#4!arms_factory#3!industrial_complex#2!air_base#3!$manpower>6144743$resources>steel#30!$category>metropolis$owner>GER$vp>6469#10!587#5!$cores>GER!$provinces>529!587!3444!3512!3547!6469!6570!9482!9522!$?
510;buildings>infrastructure#3!industrial_complex#4!air_base#1!arms_factory#1!$manpower>3497169$resources>oil#8!$category>large_town$owner>ARG$vp>7500#1!$cores>ARG!$provinces>1449!2172!5163!7500!8187!8208!8238!10515!10943!10975!10985!11007!12453!12964!13000!$?
511;buildings>infrastructure#2!industrial_complex#1!air_base#1!$manpower>1090274$category>rural$owner>ARG$cores>ARG!$vp>12942#1!$provinces>2158!2179!2215!5152!5184!5219!7550!8215!10964!10992!11021!11022!12942!12970!$?
512;buildings>infrastructure#2!@10953#naval_base<1+!$manpower>226638$category>rural$resources>oil#5!$owner>ARG$cores>ARG!$provinces>2149!2169!2199!5173!8161!8176!8192!10935!10953!10981!11005!11009!12306!12321!12349!12494!12946!12952!12982!$?
513;buildings>infrastructure#1!$manpower>811486$category>wasteland$owner>FRA$cores>ALG!$vp>12034#1!$provinces>1126!1128!1141!1967!3991!4018!4150!4970!5053!7008!7033!7040!7149!9943!9960!10045!10059!12018!12020!12034!12888!13074!$?
514;buildings>infrastructure#0!$manpower>207733$category>wasteland$owner>FRA$cores>ALG!$provinces>1043!1095!1901!1958!2049!4903!5035!5095!7041!8061!8077!8088!10731!10749!12711!12842!12849!$?
515;buildings>infrastructure#1!$category>pastoral$owner>FRA$cores>NGR!$provinces>1956!4913!7939!8028!8128!10758!10780!10805!10917!$manpower>1456356$?
516;buildings>infrastructure#1!$manpower>21974$category>pastoral$vp>4859#1!$owner>SOV$cores>SOV!TAY!$provinces>2900!2923!2972!3336!4692!4733!4812!4859!9224!10607!10635!11122!11261!11328!12643!12687!13064!13065!$?
517;buildings>infrastructure#3!arms_factory#2!industrial_complex#5!air_base#3!@7798#naval_base<4+coastal_bunker<1+!$resources>steel#8.000!chromium#4.000!$owner>AST$vp>7798#20!$cores>AST!$provinces>1759!2130!2155!4776!4791!7755!7798!7811!10553!10581!10622!10637!12576!12932!$manpower>2219500$category>large_city$?
518;buildings>infrastructure#3!@2189#naval_base<2+!$manpower>224000$category>small_island$owner>AST$vp>2189#1!$cores>AST!$provinces>2183!2189!5181!5187!10665!12645!$?
519;buildings>infrastructure#1!@12910#naval_base<2+!$owner>AST$vp>12910#15!$cores>AST!$provinces>1773!2219!5183!5197!5211!5225!7567!8165!8186!8220!10925!10927!12910!12918!12924!13169!13170!$manpower>200800$category>rural$?
52;buildings>infrastructure#4!arms_factory#2!industrial_complex#1!air_base#6!$manpower>2679413$resources>aluminium#18!$category>city$owner>GER$vp>692#20!708#3!$cores>GER!$provinces>692!707!708!3688!3705!6540!6693!9652!9666!11620!11638!11653!$?
520;buildings>infrastructure#2!air_base#1!@7669#naval_base<1+!$resources>steel#22.000!$owner>AST$vp>7669#5!$cores>AST!$provinces>1217!1410!1422!1431!1454!1478!2139!4415!4441!4462!4487!7457!7481!7669!10276!10288!10316!10518!12104!12246!12290!12311!12326!12339!12499!$manpower>13000$category>wasteland$?
521;buildings>infrastructure#3!industrial_complex#1!air_base#1!@7564#naval_base<2+coastal_bunker<1+!@7566#naval_base<1+!$resources>tungsten#24.000!$owner>AST$vp>7564#15!7566#1!$cores>AST!$provinces>1472!1501!1514!1557!1570!1644!2116!2166!2187!2221!4481!4502!4505!4517!4520!4530!4546!4560!4632!4648!5198!5227!7506!7522!7525!7535!7538!7564!7566!7592!7610!7651!7666!8230!10338!10350!10365!10378!10430!10445!10458!10460!10475!10487!10941!11006!12308!12354!12367!12382!12411!12424!12451!12949!12957!$manpower>916800$category>town$?
522;buildings>infrastructure#3!industrial_complex#1!air_base#1!@1652#naval_base<1+coastal_bunker<1+!$owner>AST$vp>1652#10!$cores>AST!$provinces>1498!1511!1526!1540!1652!2157!2191!2201!4630!4645!5125!5170!5175!5207!7453!7579!7608!8130!8152!8200!8209!8228!8243!8247!10937!10949!10950!10958!10969!10971!10983!10997!11011!11016!12323!12948!12962!12976!12990!12993!13133!$manpower>367200$category>rural$?
523;buildings>infrastructure#1!air_base#3!@4329#naval_base<3+!@12237#naval_base<2+!@12154#naval_base<1+!@12240#naval_base<1+!$cores>PNG!$owner>AST$vp>4329#3!12237#1!$provinces>1222!1242!1283!1310!1389!2129!4289!4317!4329!4346!4393!4418!4635!5135!7305!7333!7349!7362!7365!7378!7409!7614!10147!10231!10248!10251!10260!10423!10954!10974!11004!11018!12107!12123!12135!12154!12193!12237!12240!12400!12428!12484!12931!12995!$manpower>1077000$category>"rural"$?
524;buildings>infrastructure#3!arms_factory#1!air_base#6!@12068#naval_base<10+!$manpower>4592537$category>large_town$owner>JAP$cores>CHI!PRC!$vp>7186#5!12068#1!$provinces>1091!1175!4096!7186!7214!9955!11914!11959!12027!12068!$?
525;buildings>infrastructure#2!arms_factory#1!dockyard#1!@4056#naval_base<3+!$manpower>14284105$category>town$owner>JAP$vp>4056#1!7125#3!$cores>KOR!$provinces>1054!1081!1100!1148!1177!4004!4056!4086!4103!4126!7021!7121!7125!7175!7204!7221!9936!10036!10085!10110!10115!11912!11948!11958!11977!11992!12011!12060!12085!12089!$?
526;buildings>infrastructure#2!air_base#3!@11932#naval_base<3+!$manpower>578000$category>small_island$owner>JAP$cores>JAP!$vp>11932#10!$provinces>1123!7115!10124!11932!$?
527;buildings>infrastructure#2!industrial_complex#1!$manpower>6774200$category>town$resources>steel#18!tungsten#28!$owner>JAP$vp>4052#1!$cores>KOR!$provinces>848!852!898!906!912!959!978!1003!3803!3852!3860!3904!3912!3981!4052!4107!6822!6922!6928!6944!6963!7070!7155!7171!9790!9795!9899!9918!9981!10065!10083!11770!11775!11828!11835!11878!11896!11915!12040!$?
528;buildings>infrastructure#4!air_base#3!dockyard#4!arms_factory#1!industrial_complex#2!@9950#naval_base<6+!$manpower>9069000$category>large_city$resources>chromium#52!$owner>JAP$cores>JAP!$vp>1025#10!4102#15!9950#30!$provinces>1020!1025!1158!1183!4027!4102!4164!4198!7110!7178!9950!10011!10020!10092!11925!11949!12006!12032!$?
529;buildings>infrastructure#4!air_base#3!dockyard#2!arms_factory#2!industrial_complex#2!@1092#naval_base<10+!$manpower>5341000$category>large_city$owner>JAP$cores>JAP!$vp>1092#30!$provinces>1092!1167!1191!4197!7050!7145!7212!9968!10052!10055!11946!11985!$?
53;buildings>infrastructure#3!$manpower>1453365$category>city$owner>GER$cores>GER!$vp>9515#3!$provinces>532!571!586!3299!3541!3571!6725!9515!9681!11497!$?
530;buildings>infrastructure#2!air_base#3!arms_factory#1!industrial_complex#2!$manpower>3310000$category>large_city$owner>JAP$cores>JAP!$vp>7197#10!$provinces>4094!4179!7046!7197!9965!11997!12028!$?
531;buildings>infrastructure#4!arms_factory#2!industrial_complex#4!dockyard#2!@1136#naval_base<6+!@7072#naval_base<3+!$manpower>11015000$category>metropolis$resources>aluminium#3!$owner>JAP$cores>JAP!$vp>7072#40!$provinces>1051!1067!1133!1136!4054!4142!7072!7113!9985!11960!12031!$?
532;buildings>infrastructure#4!arms_factory#1!dockyard#1!industrial_complex#2!$manpower>6174000$category>large_city$owner>JAP$cores>JAP!$vp>7087#3!10125#25!$provinces>4069!4172!7087!7157!7187!10100!10125!12072!12097!$?
533;buildings>arms_factory#1!industrial_complex#2!fuel_silo#1!infrastructure#2!air_base#6!@9859#naval_base<6+!$manpower>6575000$category>large_city$resources>steel#27!$owner>JAP$cores>JAP!$vp>6994#5!7169#15!$provinces>1024!1063!1165!3848!4067!4118!4122!4153!6870!6873!6994!7169!9807!9859!9865!11847!12056!$?
534;buildings>infrastructure#2!arms_factory#2!industrial_complex#2!fuel_silo#1!$manpower>1933000$category>city$owner>JAP$cores>JAP!$vp>1117#10!$provinces>1117!9952!10128!11930!11989!12007!$?
535;buildings>arms_factory#1!industrial_complex#2!infrastructure#2!dockyard#1!fuel_silo#1!$manpower>3871000$category>large_city$resources>steel#27!tungsten#8!$owner>JAP$cores>JAP!$vp>10032#15!$provinces>998!7102!7217!10015!10032!$?
536;buildings>infrastructure#2!$manpower>2812000$category>rural$owner>JAP$cores>JAP!$vp>10444#15!12421#5!$provinces>1512!1642!3962!4576!4646!7532!7595!10444!10512!12352!12421!12493!$?
537;buildings>infrastructure#2!@12446#naval_base<1+!$manpower>295196$resources>oil#3!$category>rural$owner>JAP$cores>JAP!$vp>12446#1!$provinces>1322!1820!12446!$?
538;buildings>infrastructure#1!$manpower>1693974$category>wasteland$resources>rubber#5!$owner>BEL$cores>COG!$provinces>988!7219!7931!8016!8048!10071!10883!10951!12741!12775!12824!$?
539;buildings>infrastructure#2!@5139#naval_base<1+!$owner>FRA$cores>GAB!$vp>5139#1!$provinces>5139!8207!10948!13210!$manpower>409752$category>pastoral$?
54;buildings>infrastructure#4!industrial_complex#2!$manpower>2508159$category>city$owner>GER$vp>11544#10!$cores>GER!$provinces>561!3474!6421!6594!9416!9557!9572!11404!11417!11529!11544!13116!$?
540;buildings>infrastructure#1!@8248#naval_base<1+!$resources>rubber#1.000!$owner>POR$vp>8248#1!10966#1!$cores>ANG!$provinces>1552!2126!4735!5158!7548!8054!8138!8202!8219!8248!10966!12391!12958!12981!12985!$manpower>3200000$category>rural$?
541;buildings>infrastructure#2!$manpower>462000$category>wasteland$owner>SAF$vp>4879#1!$cores>SAF!NMB!$provinces>2207!2229!4879!5154!5189!7605!7770!8136!10957!10963!10978!12519!12921!13217!$?
542;buildings>infrastructure#1!$manpower>234000$category>wasteland$resources>chromium#90!$owner>ENG$cores>BOT!$vp>8214#1!$provinces>1580!8214!10525!12940!12963!$?
543;buildings>infrastructure#1!air_base#1!@5222#naval_base<1+!$manpower>3694611$category>rural$cores>MAD!$owner>FRA$vp>5128#1!$provinces>2200!5128!5185!5222!8180!8188!8246!10993!11015!12956!$?
544;buildings>infrastructure#2!industrial_complex#1!@8245#naval_base<1+!@2123#naval_base<1+!$manpower>4125000$category>rural$owner>POR$vp>8245#1!$cores>MZB!$provinces>2120!2123!2159!2180!2193!2202!2217!5155!5164!5177!5212!8245!10972!12935!12950!12971!$?
545;buildings>infrastructure#2!$category>pastoral$owner>ENG$vp>10929#1!$cores>ZIM!$provinces>1874!2151!2216!4851!7842!10929!$manpower>1171336$?
546;buildings>infrastructure#2!@2196#naval_base<2+!$category>rural$resources>rubber#2!$owner>ENG$vp>2196#1!$cores>TZN!$provinces>2176!2196!2206!2281!2308!4171!5180!5224!8144!8182!8183!8201!8205!10845!10932!10988!11017!12911!12944!12967!$manpower>5299000$?
547;buildings>infrastructure#2!industrial_complex#1!@5210#naval_base<2+!$manpower>3392000$category>rural$owner>ENG$vp>1939#2!5210#1!$cores>KEN!$provinces>1939!2066!5079!5160!5196!5210!6020!8133!10761!10860!10962!10976!11145!12927!13135!$?
548;buildings>infrastructure#2!$category>rural$resources>rubber#3!$owner>ENG$cores>UGA!$vp>12989#1!$provinces>3854!7088!7133!8223!12929!12989!13177!$manpower>3515625$?
549;buildings>infrastructure#2!$manpower>3694293$category>rural$vp>2096#1!$owner>ENG$cores>SUD!$provinces>1914!1953!1960!2016!2096!4033!4918!5060!7996!8052!8084!10739!10764!10795!10827!10851!10857!10859!10877!10908!12744!12800!12887!$?
55;buildings>infrastructure#4!arms_factory#1!industrial_complex#2!$manpower>3798235$category>large_city$owner>GER$vp>6488#20.0!564#3!$cores>GER!$provinces>564!589!3397!3524!3574!6444!6488!6549!9486!9524!9547!11445!11533!11560!$?
550;buildings>infrastructure#2!air_base#3!@12766#naval_base<3+!$manpower>600600$category>rural$owner>ITA$cores>ERI!$vp>12766#1!$provinces>5017!5047!5091!8043!12723!12766!$?
551;buildings>infrastructure#1!industrial_complex#1!air_base#2!@12725#naval_base<3+!$manpower>1993507$category>rural$owner>ENG$vp>12806#3!12725#1!$cores>SUD!$provinces>1977!2003!2046!2088!4963!7925!7989!8105!10743!10745!10784!10902!12725!12796!12806!12826!12862!12881!4138!12836!4961!$?
552;buildings>infrastructure#0!$manpower>18539$category>wasteland$owner>ENG$cores>EGY!$provinces>1143!2064!7216!10127!10869!10907!12099!12733!12764!12816!$?
